participant,track_ratio,blink_count,blink_mean,pupil_dia_mm_count,pupil_dia_mm_mean,pupil_dia_mm_var,fixation_count,fixation_mean,fixation_rate,blink_rate
DR3,93.8,30,176.59,186,3.444623656,0.032214182,53,227.9037736,32.43805657,18.3611641
ID3,89.2,42,203.1309524,153,4.64248366,0.071933265,47,218.2617021,28.7623617,25.70253598
ID9,75.3,51,199.3313725,141,2.455319149,0.140775076,36,204.5777778,22.03771306,31.2200935
ID12,97.1,10,189.94,180,3.468888889,0.061484792,53,215.7264151,32.44553639,6.121799319
ID15,93.7,31,193.5193548,186,3.683870968,0.047846556,49,212.155102,29.99032965,18.97347386
ID18,96.8,18,172.3,155,3.870322581,0.030931713,45,216.2244444,27.54348811,11.01739524
ID19,98.6,4,308.475,84,3.832142857,0.04654475,8,237.3375,4.896685046,2.448342523
ID20,95,11,142.2545455,165,3.319393939,0.053280118,49,231.2346939,29.99237949,6.73298315
ID23,97.9,11,172.6909091,111,4.047747748,0.039608518,20,220.315,12.24339877,6.733869322
DR1,91.1,18,142.5555556,219,3.896803653,0.058384232,86,234.7802326,52.64264013,11.018227
ID1,93.1,29,164.1586207,184,3.870652174,0.040117605,60,226.7966667,36.71712211,17.74660902
ID4,88,46,256.5434783,215,3.94372093,0.128266464,87,217.1712644,53.25987144,28.1603918
ID7,91.6,34,200.9029412,152,3.950657895,0.053774399,45,219.9555556,27.53503323,20.80424733
ID10,98.4,4,183.225,156,3.715384615,0.042600496,41,225.0585366,25.09320698,2.448117754
ID13,89.6,42,193.65,132,3.810606061,0.026451538,34,211.7941176,20.81050808,25.70709822
ID16,94,16,177.15,197,4.041624365,0.107646328,72,218.9944444,44.06899654,9.793110343
ID21,96.4,17,194.0411765,70,4.054285714,0.02947412,13,256.2384615,7.958404075,10.40714379
DR2 (1),91.9,45,166.5911111,179,3.591061453,0.052953361,44,233.6272727,26.93374605,27.54587664
ID2,98.3,4,100.025,176,2.755681818,0.031053247,51,218.3490196,31.20506623,2.447456175
ID5,98.6,7,119.1285714,187,4.239037433,0.035080789,55,226.0181818,33.66900309,4.285145848
ID8,88.5,22,260.65,124,3.677419355,0.071843693,20,218.3,12.241313,13.4654443
ID11,87.4,19,166.7157895,124,3.648387097,0.021054288,40,217.4625,24.48320044,11.62952021
ID14,75.3,44,183.2590909,173,3.156647399,0.036772416,59,219.1033898,36.11261014,26.93143807
ID17,99,4,241.7,72,3.723611111,0.029716354,11,221.2090909,6.732962544,2.448350016
ID22,94.1,28,161.7607143,150,3.659333333,0.028335123,40,215.8475,24.48005386,17.1360377
